query,date,time
wake up leo,2023/04/04,02:33:05 AM
no no thanks,2023/04/04,02:33:19 AM
search mahendra singh dhoni on wikipedia,2023/04/04,02:33:32 AM
no you can quit now,2023/04/04,02:34:07 AM
leo wake up,2023/04/04,02:34:44 AM
yes please,2023/04/04,02:34:56 AM
search virat kohli,2023/04/04,02:35:05 AM
no you can quit now,2023/04/04,02:35:47 AM
wake up leo,2023/04/04,02:44:26 AM
yes i have queries,2023/04/04,02:44:38 AM
search ms dhoni on wikipedia,2023/04/04,02:44:49 AM
no you can quit now,2023/04/04,02:45:38 AM
wake up leo,2023/04/04,02:46:20 AM
yes i have queries,2023/04/04,02:46:31 AM
how to make a cake,2023/04/04,02:46:42 AM
no you can exit now,2023/04/04,02:47:34 AM
wake up lew,2023/04/04,02:48:00 AM
yes i have queries,2023/04/04,02:48:14 AM
how to make a cake,2023/04/04,02:48:23 AM
how to make a cake,2023/04/04,02:48:57 AM
how to make a cake,2023/04/04,02:49:13 AM
wake up leo,2023/04/04,02:50:27 AM
yes i have queries,2023/04/04,02:50:38 AM
wake up leo,2023/04/04,02:51:07 AM
yes please,2023/04/04,02:51:19 AM
leo wake up,2023/04/04,02:51:50 AM
yes i have,2023/04/04,02:52:01 AM
how to make a cake,2023/04/04,02:52:11 AM
how to make a cake,2023/04/04,02:52:59 AM
no you can quit now,2023/04/04,02:53:19 AM
wake up leo,2023/04/04,02:53:30 AM
no i don't have,2023/04/04,02:53:42 AM
how to make a cake,2023/04/04,02:53:55 AM
wake up leo,2023/04/04,02:59:17 AM
yes i do,2023/04/04,02:59:29 AM
how to make a cake,2023/04/04,02:59:38 AM
how to make a cake,2023/04/04,03:00:18 AM
how to bake a cake,2023/04/04,03:01:58 AM
wake up,2023/04/04,03:03:13 AM
no i don't have,2023/04/04,03:03:24 AM
what is women empowerment,2023/04/04,03:03:36 AM
hell you wake up,2023/04/04,03:06:03 AM
no i don't have,2023/04/04,03:06:15 AM
how to bake ok,2023/04/04,03:06:27 AM
what is women empowerment,2023/04/04,03:08:26 AM
helio wake up,2023/04/04,03:09:29 AM
yes i do,2023/04/04,03:09:40 AM
what is women empowerment,2023/04/04,03:09:49 AM
no you can exit now,2023/04/04,03:10:34 AM
wake up leo,2023/04/04,03:12:50 AM
yes i do,2023/04/04,03:13:01 AM
wake up leo,2023/04/04,03:13:31 AM
yes i do,2023/04/04,03:13:42 AM
mahendra singh dhoni,2023/04/04,03:13:51 AM
who is mahendra singh dhoni,2023/04/04,03:14:20 AM
wake up leo,2023/04/04,03:15:03 AM
yes i have,2023/04/04,03:15:15 AM
mahendra singh dhoni,2023/04/04,03:15:24 AM
who is mahendra singh dhoni,2023/04/04,03:15:41 AM
exit now,2023/04/04,03:15:57 AM
helio wake up,2023/04/04,03:16:38 AM
yes i have,2023/04/04,03:16:50 AM
mahendra singh dhoni,2023/04/04,03:17:00 AM
quit,2023/04/04,03:17:16 AM
wake up leo,2023/04/04,03:18:11 AM
yes i do,2023/04/04,03:18:22 AM
who is mahendra singh dhoni,2023/04/04,03:18:32 AM
wake up leo,2023/04/04,03:21:43 AM
yes i have,2023/04/04,03:21:56 AM
who is mahendra singh dhoni,2023/04/04,03:22:06 AM
no you can quit,2023/04/04,03:22:22 AM
wake up leo,2023/04/04,03:22:34 AM
yes i have,2023/04/04,03:22:46 AM
mahendra singh dhoni,2023/04/04,03:22:55 AM
wake up leo,2023/04/04,03:27:16 AM
yes i do,2023/04/04,03:27:27 AM
mahendra singh dhoni,2023/04/04,03:27:36 AM
quit now,2023/04/04,03:28:17 AM
wake up leo,2023/04/04,03:28:31 AM
yes yes i do,2023/04/04,03:28:42 AM
virat kohli,2023/04/04,03:28:50 AM
wake up leo,2023/04/04,03:33:39 AM
yes i have,2023/04/04,03:33:51 AM
how to make a cake,2023/04/04,03:33:59 AM
the disadvantage and see nearby update,2023/04/04,10:15:55 AM
achcha mujhe,2023/04/04,10:17:26 AM
helio wake up,2023/04/04,10:20:25 AM
yes please,2023/04/04,10:20:38 AM
place you again,2023/04/04,10:20:47 AM
quit now,2023/04/04,10:20:58 AM
wake up leo,2023/04/04,10:27:10 AM
no thanks,2023/04/04,10:27:24 AM
launch music,2023/04/04,10:27:36 AM
see you again,2023/04/04,10:27:48 AM
play some music for me,2023/04/04,10:28:01 AM
nothing,2023/04/04,10:28:19 AM
no you can sleep now,2023/04/04,10:28:43 AM
goodbye leo,2023/04/04,10:29:22 AM
wake up leo,2023/04/04,10:53:23 AM
no thanks,2023/04/04,10:53:36 AM
i want to listen some news,2023/04/04,10:53:49 AM
no you can sleep now,2023/04/04,10:54:56 AM
video,2023/04/04,10:55:11 AM
goodbye leo,2023/04/04,10:55:39 AM
wake up leo,2023/04/04,10:57:32 AM
no thanks,2023/04/04,10:57:47 AM
i want to listen some news,2023/04/04,10:58:02 AM
stop leo,2023/04/04,10:58:38 AM
you can quit now,2023/04/04,10:59:22 AM
wake up leo,2023/04/04,11:00:24 AM
yes please,2023/04/04,11:00:35 AM
lio you can stop now,2023/04/04,11:01:41 AM
new exit,2023/04/04,11:01:52 AM
wake up leo,2023/04/04,11:08:56 AM
yes please,2023/04/04,11:09:09 AM
please check my internet speed,2023/04/04,11:09:31 AM
wake up leo,2023/04/04,11:10:16 AM
yes please,2023/04/04,11:10:29 AM
yes please,2023/04/04,11:10:44 AM
check my internet speed,2023/04/04,11:11:11 AM
wake up leo,2023/04/04,11:15:58 AM
no i don't have,2023/04/04,11:16:10 AM
what is my systems battery,2023/04/04,11:16:26 AM
check my internet speed,2023/04/04,11:16:41 AM
wake up leo,2023/04/04,11:19:55 AM
no i don't have,2023/04/04,11:20:10 AM
check my internet speed,2023/04/04,11:20:24 AM
wake up leo,2023/04/04,11:21:09 AM
yes please,2023/04/04,11:21:21 AM
check my internet speed,2023/04/04,11:23:16 AM
good value,2023/04/04,11:24:10 AM
wake up leo,2023/04/04,11:59:46 AM
no thanks,2023/04/04,12:00:01 PM
no i don't have,2023/04/04,12:00:17 PM
jindagi,2023/04/04,12:02:02 PM
wake up me you,2023/04/04,12:02:10 PM
yes please,2023/04/04,12:02:24 PM
no i don't want,2023/04/04,12:02:45 PM
wake up leo,2023/04/04,12:03:42 PM
no i don't have,2023/04/04,12:03:55 PM
you can quit now,2023/04/04,12:04:36 PM
wake up leo,2023/04/04,12:07:25 PM
yes please,2023/04/04,12:07:38 PM
now you can quit,2023/04/04,12:08:00 PM
drink water,2023/04/04,12:35:38 PM
yes please,2023/04/04,12:35:56 PM
drink water,2023/04/04,12:38:19 PM
drink water,2023/04/04,12:39:05 PM
yes repeat this,2023/04/04,12:39:17 PM
start reading,2023/04/04,12:44:52 PM
yes please,2023/04/04,12:45:08 PM
wake up leo,2023/04/04,12:47:18 PM
no i don't want,2023/04/04,12:47:33 PM
can you say the reminder for me,2023/04/04,12:47:47 PM
drink after 22nds,2023/04/04,12:47:58 PM
yes please repeat this reminder,2023/04/04,12:48:17 PM
you can quit now,2023/04/04,12:50:29 PM
wake up leo,2023/04/04,12:55:14 PM
no thanks,2023/04/04,12:55:29 PM
can you set reminder for me,2023/04/04,12:55:43 PM
drink water,2023/04/04,12:55:53 PM
drink water after few minutes,2023/04/04,12:55:57 PM
leo wake up,2023/04/04,12:58:36 PM
no i don't want,2023/04/04,12:58:50 PM
set reminder for me,2023/04/04,12:59:04 PM
drink water after few minutes,2023/04/04,12:59:14 PM
yes please repeat this,2023/04/04,12:59:30 PM
wake up leo,2023/04/04,13:39:32 PM
yes please,2023/04/04,13:39:44 PM
set reminder for me,2023/04/04,13:41:34 PM
use mobile,2023/04/04,13:41:43 PM
yes repeat this,2023/04/04,13:42:08 PM
wake up leo,2023/04/04,13:43:31 PM
yes please tell me,2023/04/04,13:43:44 PM
set reminder for me,2023/04/04,13:46:55 PM
drink water,2023/04/04,13:47:04 PM
yes please repeat the reminder,2023/04/04,13:47:23 PM
what is current weather in,2023/04/04,13:47:42 PM
you please exit,2023/04/04,13:49:07 PM
leo wake up,2023/04/04,13:56:31 PM
no thanks,2023/04/04,13:56:43 PM
reminder me,2023/04/04,13:56:56 PM
drink water after sometime,2023/04/04,13:57:04 PM
yes please repeat,2023/04/04,13:57:24 PM
you can sleep now,2023/04/04,13:57:35 PM
exit the reminder please,2023/04/04,13:57:48 PM
wake up leo,2023/04/04,13:58:40 PM
yes please tell me,2023/04/04,13:58:53 PM
open microsoft age,2023/04/04,13:59:07 PM
open google chrome,2023/04/04,13:59:25 PM
i want to search youtube.com,2023/04/04,13:59:35 PM
open browser,2023/04/04,13:59:49 PM
you can exit now,2023/04/04,14:00:09 PM
age,2023/04/04,14:00:53 PM
is,2023/04/04,14:00:58 PM
age,2023/04/04,14:01:04 PM
age,2023/04/04,14:01:10 PM
age,2023/04/04,14:01:16 PM
microsoft age,2023/04/04,14:01:29 PM
microsoft age,2023/04/04,14:01:36 PM
you can quit now,2023/04/04,14:01:41 PM
wake up leo,2023/04/04,21:55:32 PM
no you can quit now,2023/04/04,21:55:45 PM
wake up leo,2023/04/04,21:58:08 PM
yes please,2023/04/04,21:58:20 PM
you can exit now,2023/04/04,21:59:06 PM
wake up leo,2023/04/04,22:36:26 PM
no you can quit now,2023/04/04,22:36:42 PM
you can exit now,2023/04/04,22:37:02 PM
level 2,2023/04/04,23:21:06 PM
manoj sinha,2023/04/04,23:21:20 PM
level 2 ssb,2023/04/04,23:21:30 PM
mysterio download,2023/04/04,23:23:14 PM
you recognize,2023/04/04,23:23:33 PM
wake up leo,2023/04/04,23:28:40 PM
wake up leo,2023/04/05,00:31:07 AM
yes please,2023/04/05,00:31:20 AM
you can exit now,2023/04/05,00:31:41 AM
honda gadi,2023/04/05,00:55:25 AM
listen hone,2023/04/05,00:55:40 AM
wake up le,2023/04/05,00:55:49 AM
yes please,2023/04/05,00:56:03 AM
see you again,2023/04/05,00:56:12 AM
you can quit now,2023/04/05,00:56:22 AM
wake up leo,2023/04/05,01:10:49 AM
nothing do,2023/04/05,01:11:18 AM
i want to do one,2023/04/05,01:11:49 AM
open notepad,2023/04/05,01:12:24 AM
open notepad,2023/04/05,01:12:38 AM
open command prompt,2023/04/05,01:12:51 AM
open calculator,2023/04/05,01:13:03 AM
close calculator,2023/04/05,01:13:15 AM
you can quit now,2023/04/05,01:13:29 AM
wake up leo,2023/04/05,01:28:36 AM
no thanks,2023/04/05,01:28:49 AM
set reminder for me,2023/04/05,01:29:01 AM
drink water after sometime,2023/04/05,01:29:11 AM
yes please repeat,2023/04/05,01:29:27 AM
you can sleep now,2023/04/05,01:29:38 AM
leo you can exit now,2023/04/05,01:30:43 AM
wake up leo,2023/04/05,01:47:22 AM
no you can quit now,2023/04/05,01:47:35 AM
you can quit now,2023/04/05,01:47:56 AM
wake up leo,2023/04/05,01:50:27 AM
no thanks,2023/04/05,01:50:39 AM
you can sleep now,2023/04/05,01:50:52 AM
wake up leo,2023/04/05,01:51:54 AM
no thanks,2023/04/05,01:52:07 AM
no thing,2023/04/05,01:52:20 AM
wake up leo,2023/04/05,01:54:18 AM
wake up leo,2023/04/05,01:55:28 AM
no i don't want,2023/04/05,01:55:42 AM
you can exit now,2023/04/05,01:55:55 AM
wake up leo,2023/04/05,01:58:20 AM
no i don't want,2023/04/05,01:58:34 AM
you can exit now,2023/04/05,01:58:47 AM
wake up leo,2023/04/05,02:07:29 AM
no thanks,2023/04/05,02:07:42 AM
you can exit now,2023/04/05,02:07:55 AM
wake up leo,2023/04/05,02:10:38 AM
no thanks i don't want,2023/04/05,02:10:52 AM
tell me how to make a cake at home,2023/04/05,02:11:06 AM
what is my ip address,2023/04/05,02:12:33 AM
wake up,2023/04/05,02:13:08 AM
yes please tell me,2023/04/05,02:13:20 AM
what is my ip address,2023/04/05,02:13:40 AM
you can quit now,2023/04/05,02:14:00 AM
wake up leo,2023/04/05,02:16:12 AM
wake up leo,2023/04/05,02:16:58 AM
no thanks,2023/04/05,02:17:14 AM
wake up leo,2023/04/05,02:18:18 AM
yes please tell my internet speed,2023/04/05,02:18:32 AM
you can quit now,2023/04/05,02:19:21 AM
kab liyo,2023/04/05,02:20:21 AM
wake up leo,2023/04/05,02:20:33 AM
no i don't want,2023/04/05,02:20:46 AM
can you check my internet speed,2023/04/05,02:21:00 AM
no you can exit now,2023/04/05,02:21:47 AM
leo,2023/04/05,02:25:23 AM
wake up leo,2023/04/05,02:25:29 AM
no thanks,2023/04/05,02:25:43 AM
what is my current ip address,2023/04/05,02:25:57 AM
you can exit now,2023/04/05,02:26:17 AM
wake up leo,2023/04/05,02:27:58 AM
no i don't want,2023/04/05,02:28:13 AM
what is my internet speed,2023/04/05,02:28:27 AM
you can exit now,2023/04/05,02:29:13 AM
wake up leo,2023/04/05,02:29:44 AM
yes please tell me,2023/04/05,02:29:58 AM
search ms dhoni on wikipedia,2023/04/05,02:30:28 AM
who is mahendra singh dhoni,2023/04/05,02:30:45 AM
you can exit now,2023/04/05,02:31:22 AM
this is testime,2023/04/05,12:22:37 PM
hello how are you,2023/04/05,12:22:45 PM
don't send please,2023/04/05,12:23:04 PM
this is test,2023/04/05,12:23:45 PM
how are you,2023/04/05,12:23:52 PM
don't send please,2023/04/05,12:24:10 PM
this is test email,2023/04/05,12:25:20 PM
nothing,2023/04/05,12:25:28 PM
no don't send,2023/04/05,12:25:46 PM
this is test email,2023/04/05,12:28:43 PM
hello how are you,2023/04/05,12:28:52 PM
don't send,2023/04/05,12:29:09 PM
is test email,2023/04/05,12:30:48 PM
hello how are you,2023/04/05,12:30:57 PM
don't send please,2023/04/05,12:31:16 PM
this is tasty mail,2023/04/05,12:31:57 PM
nothing much,2023/04/05,12:32:08 PM
don't send,2023/04/05,12:32:27 PM
this is test email,2023/04/05,12:33:47 PM
hello bhuvan,2023/04/05,12:33:54 PM
no don't send,2023/04/05,12:34:12 PM
this is test email,2023/04/05,12:38:36 PM
hello how are you,2023/04/05,12:38:46 PM
please send,2023/04/05,12:39:06 PM
wake up lew,2023/04/05,13:07:21 PM
yes please,2023/04/05,13:07:34 PM
what is current temperature of dhangadi,2023/04/05,13:08:33 PM
africa,2023/04/05,13:53:03 PM
wake up leo,2023/04/05,13:54:50 PM
no i don't want to listen,2023/04/05,13:55:04 PM
what is my weather,2023/04/05,13:55:16 PM
leo please tell me what is my weather condition,2023/04/05,13:55:27 PM
please tell me what is my weather condition,2023/04/05,13:55:39 PM
lio you can exit now,2023/04/05,13:55:49 PM
wake up leo,2023/04/05,14:13:03 PM
yes please,2023/04/05,14:13:16 PM
you can sleep now,2023/04/05,14:13:32 PM
wake up leo,2023/04/05,14:16:26 PM
no thanks,2023/04/05,14:16:39 PM
lio what is my battery status,2023/04/05,14:16:53 PM
nothing you can sleep now,2023/04/05,14:17:07 PM
wake up leo,2023/04/05,14:36:05 PM
no thanks,2023/04/05,14:36:18 PM
send whatsapp message for me,2023/04/05,14:36:32 PM
hey bhuwan how are you,2023/04/05,14:36:54 PM
send whatsapp message,2023/04/05,14:37:12 PM
send whatsapp message,2023/04/05,14:37:30 PM
offline,2023/04/05,14:37:45 PM
wake up leo,2023/04/05,14:40:10 PM
no thanks,2023/04/05,14:40:23 PM
wake up leo,2023/04/05,14:41:42 PM
yes please,2023/04/05,14:41:55 PM
send whatsapp message for me,2023/04/05,14:42:09 PM
he bhuvan how are you,2023/04/05,14:42:29 PM
what is my current location,2023/04/05,14:43:07 PM
leo go offline,2023/04/05,14:43:28 PM
wake up leo,2023/04/05,14:48:36 PM
yes please,2023/04/05,14:48:49 PM
set alarm for me,2023/04/05,14:49:50 PM
wake up leo,2023/04/05,15:06:52 PM
no thanks,2023/04/05,15:07:05 PM
send whatsapp message for me,2023/04/05,15:07:18 PM
hey how are you,2023/04/05,15:07:34 PM
you can quit now,2023/04/05,15:08:12 PM
wake up leo,2023/04/05,15:11:48 PM
no thanks,2023/04/05,15:12:00 PM
can you set alarm for me,2023/04/05,15:12:13 PM
you can sleep now,2023/04/05,15:12:48 PM
wake up leo,2023/04/05,15:14:26 PM
yes please,2023/04/05,15:14:39 PM
set alarm for me,2023/04/05,15:15:01 PM
kab liya,2023/04/05,15:16:12 PM
new please start,2023/04/05,15:16:36 PM
leo start,2023/04/05,15:16:46 PM
start leo,2023/04/05,15:17:32 PM
yes please tell me,2023/04/05,15:17:45 PM
can you set alarm for me,2023/04/05,15:18:04 PM
now,2023/04/05,15:18:43 PM
wake up leo,2023/04/05,16:10:45 PM
yes please,2023/04/05,16:11:02 PM
shutdown this pc,2023/04/05,16:11:58 PM
wake up leo,2023/04/05,16:17:08 PM
no thanks,2023/04/05,16:17:21 PM
what is current weather in dhangadi,2023/04/05,16:17:36 PM
wake up leo,2023/04/05,19:01:33 PM
no thanks,2023/04/05,19:01:46 PM
can you download youtube video for me,2023/04/05,19:01:59 PM
an exit now,2023/04/05,19:03:00 PM
wake up leo,2023/04/05,19:04:22 PM
no thanks,2023/04/05,19:04:35 PM
what is my current battery status,2023/04/05,19:04:51 PM
login,2023/04/05,19:05:05 PM
at leo,2023/04/05,19:07:01 PM
leo wake up,2023/04/05,19:07:07 PM
no thanks,2023/04/05,19:07:20 PM
can you tell my battery percentage,2023/04/05,19:07:35 PM
what is my current battery status,2023/04/05,19:07:52 PM
can you set reminder for me,2023/04/05,19:08:07 PM
beed city aacharya,2023/04/05,19:08:14 PM
leo,2023/04/05,19:09:09 PM
leo wake up,2023/04/05,19:09:16 PM
no thanks,2023/04/05,19:09:28 PM
can you set alarm for me,2023/04/05,19:09:40 PM
you can sleep now,2023/04/05,19:10:26 PM
bhuvan mandir,2023/04/05,19:10:42 PM
leo wake up,2023/04/05,19:11:34 PM
yes please please play some,2023/04/05,19:11:49 PM
can you play voice of nepal,2023/04/05,19:12:00 PM
can you open command from for me,2023/04/05,19:12:12 PM
open command prompt,2023/04/05,19:12:41 PM
close command prompt,2023/04/05,19:12:54 PM
open microsoft paint,2023/04/05,19:13:06 PM
close microsoft paint,2023/04/05,19:13:19 PM
close paint,2023/04/05,19:13:26 PM
what is,2023/04/05,19:13:40 PM
can you tell me some news,2023/04/05,19:16:08 PM
what is my current location,2023/04/05,19:17:13 PM
what is my location,2023/04/05,19:17:34 PM
can you tell my wi-fi speed,2023/04/05,19:17:52 PM
you can sleep now,2023/04/05,19:18:41 PM
email whatsapp,2023/04/05,19:18:52 PM
download tumse das tere,2023/04/05,19:18:57 PM
video china school,2023/04/05,19:19:24 PM
leo start now,2023/04/05,19:19:34 PM
no thanks,2023/04/05,19:19:45 PM
can you download youtube video for me,2023/04/05,19:19:59 PM
you can sleep now,2023/04/05,19:20:41 PM
you can sleep now,2023/04/05,19:21:15 PM
wake up leo,2023/04/05,19:21:23 PM
no thanks,2023/04/05,19:21:39 PM
can you send an email for me,2023/04/05,19:21:53 PM
this is test email,2023/04/05,19:22:15 PM
i am very oblique to send this email because of,2023/04/05,19:22:27 PM
yes please send this email,2023/04/05,19:22:54 PM
kshitij what are you,2023/04/05,19:23:30 PM
you are me,2023/04/05,19:23:40 PM
please send,2023/04/05,19:24:02 PM
leo please start,2023/04/05,19:27:21 PM
yes please,2023/04/05,19:27:36 PM
can you send an email for me,2023/04/05,19:27:51 PM
yes please send this email,2023/04/05,19:28:52 PM
fine thank you,2023/04/05,19:29:45 PM
spliction this,2023/04/05,19:30:06 PM
start leo,2023/04/05,19:33:12 PM
no thanks,2023/04/05,19:33:26 PM
can you send me a email,2023/04/05,19:33:42 PM
yes please send this email,2023/04/05,19:34:50 PM
top leo,2023/04/05,19:37:31 PM
i am already weather start leo,2023/04/05,19:37:40 PM
no thanks,2023/04/05,19:37:54 PM
can you send email,2023/04/05,19:38:08 PM
wake up leo,2023/04/05,19:42:51 PM
no thanks,2023/04/05,19:43:05 PM
on youtube,2023/04/05,19:43:17 PM
anyways can you send email,2023/04/05,19:43:27 PM
ab bhanje banne se,2023/04/05,19:43:58 PM
yes please send,2023/04/05,19:44:28 PM
open youtube,2023/04/05,19:44:47 PM
open youtube,2023/04/05,19:45:03 PM
open youtube,2023/04/05,19:45:17 PM
wake up leo,2023/04/05,19:45:58 PM
film na,2023/04/05,19:46:15 PM
no thanks,2023/04/05,19:46:25 PM
shutdown my computer,2023/04/05,19:46:40 PM
start leo,2023/04/05,19:52:42 PM
no thanks,2023/04/05,19:52:55 PM
please make a phone call,2023/04/05,19:53:10 PM
restart my computer,2023/04/05,19:53:18 PM
